사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
61,0:02,0:05,0:10,0:08,2023.1.9 18:05,2023.1.9 18:07,2023.1.9 18:12,2023.1.9 18:22,2023.1.9 18:30,겨울,수색,마포구,영등포소방서
62,0:07,0:04,0:33,0:01,2023.1.9 19:21,2023.1.9 19:28,2023.1.9 19:32,2023.1.9 20:05,2023.1.9 20:06,겨울,기타 수난 ,서초구,119특수구조단
63,0:04,0:01,0:00,0:23,2023.1.9 19:52,2023.1.9 19:56,2023.1.9 19:57,2023.1.9 19:57,2023.1.9 20:20,겨울,기타 수난 ,강동구,119특수구조단
64,0:01,0:02,0:02,0:06,2023.1.9 21:04,2023.1.9 21:05,2023.1.9 21:07,2023.1.9 21:09,2023.1.9 21:15,겨울,기타 수난 ,강남구,119특수구조단
65,0:01,0:04,0:21,0:08,2023.1.9 22:39,2023.1.9 22:40,2023.1.9 22:44,2023.1.9 23:05,2023.1.9 23:13,겨울,기타 수난 ,용산구,119특수구조단
66,0:02,0:03,0:02,0:04,2023.1.9 23:51,2023.1.9 23:53,2023.1.9 23:56,2023.1.9 23:58,2023.1.10 0:02,겨울,기타 수난 ,마포구,마포소방서
67,0:02,0:03,0:00,0:06,2023.1.9 23:51,2023.1.9 23:53,2023.1.9 23:56,2023.1.9 23:56,2023.1.10 0:02,겨울,수색,마포구,마포소방서
68,0:02,0:05,0:02,0:20,2023.1.10 7:06,2023.1.10 7:08,2023.1.10 7:13,2023.1.10 7:15,2023.1.10 7:35,겨울,기타 수난 ,마포구,영등포소방서
69,0:02,0:05,0:03,0:06,2023.1.10 7:06,2023.1.10 7:08,2023.1.10 7:13,2023.1.10 7:16,2023.1.10 7:22,겨울,수색,마포구,영등포소방서
70,0:01,0:05,0:04,0:21,2023.1.10 14:04,2023.1.10 14:05,2023.1.10 14:10,2023.1.10 14:14,2023.1.10 14:35,겨울,침수,성북구,성북소방서
71,0:00,0:07,0:05,0:11,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:40,2023.1.10 16:45,2023.1.10 16:56,겨울,익수,송파구,강동소방서
72,0:00,0:07,0:15,0:05,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:40,2023.1.10 16:55,2023.1.10 17:00,겨울,기타 수난 ,송파구,119특수구조단
73,0:00,0:00,0:05,0:12,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:33,2023.1.10 16:38,2023.1.10 16:50,겨울,기타 수난 ,송파구,119특수구조단
